CustomerID,Country,FirstPurchase,LastPurchase,Orders,Revenue,RecencyDays,R,F,M,Segment
12346,United Kingdom,2010-03-02 13:08:00,2010-06-28 13:53:00,2.0,169.36,529.0,1.0,2.0,1.0,At Risk
12347,Iceland,2010-10-31 14:20:00,2011-12-07 15:52:00,8.0,4921.53,2.0,4.0,4.0,4.0,Champions
12348,Finland,2010-09-27 14:59:00,2011-09-25 13:13:00,5.0,1658.4,75.0,3.0,3.0,3.0,Champions
12349,Italy,2010-04-29 13:20:00,2011-11-21 09:51:00,3.0,3678.69,19.0,4.0,2.0,4.0,Recent / Promising
12350,Norway,2011-02-02 16:01:00,2011-02-02 16:01:00,1.0,294.4,310.0,2.0,1.0,1.0,Hibernating
12351,Unknown,2010-11-29 15:23:00,2010-11-29 15:23:00,1.0,300.93,375.0,2.0,1.0,1.0,Hibernating
12352,Norway,2010-11-12 10:20:00,2011-11-03 14:37:00,9.0,1729.54,36.0,3.0,4.0,3.0,Champions
12353,Bahrain,2010-10-27 12:44:00,2011-05-19 17:47:00,2.0,406.76,204.0,2.0,2.0,2.0,Hibernating
12354,Spain,2011-04-21 13:11:00,2011-04-21 13:11:00,1.0,1079.4,232.0,2.0,1.0,3.0,Hibernating
12355,Bahrain,2010-05-21 11:59:00,2011-05-09 13:49:00,2.0,947.61,214.0,2.0,2.0,3.0,Hibernating
12356,Portugal,2010-10-11 09:42:00,2011-11-17 08:40:00,6.0,5611.73,23.0,4.0,3.0,4.0,Champions
12357,Switzerland,2010-11-16 10:05:00,2011-11-06 16:07:00,2.0,17437.66,33.0,3.0,2.0,4.0,Recent / Promising
12358,Austria,2009-12-08 07:59:00,2011-12-08 10:26:00,5.0,3447.07,2.0,4.0,3.0,4.0,Champions
12359,Cyprus,2009-12-05 13:32:00,2011-10-13 12:47:00,10.0,8873.39,58.0,3.0,4.0,4.0,Champions
12360,Austria,2010-02-22 09:32:00,2011-10-18 15:22:00,6.0,3612.89,52.0,3.0,3.0,4.0,Champions
12361,Belgium,2010-01-26 14:37:00,2011-02-25 13:51:00,4.0,451.25,287.0,2.0,3.0,2.0,Loyal
12362,Belgium,2011-02-17 10:30:00,2011-12-06 15:40:00,10.0,4737.23,3.0,4.0,4.0,4.0,Champions
12363,Unknown,2011-04-11 13:29:00,2011-08-22 10:18:00,2.0,552.0,110.0,2.0,2.0,2.0,Hibernating
12364,Belgium,2011-08-19 15:24:00,2011-12-02 10:22:00,4.0,1208.1,8.0,4.0,3.0,3.0,Champions
12365,Cyprus,2011-02-21 13:51:00,2011-02-21 13:51:00,1.0,320.69,291.0,2.0,1.0,1.0,Hibernating
12366,Cyprus,2010-03-16 10:28:00,2010-03-16 10:28:00,1.0,500.24,634.0,1.0,1.0,2.0,Hibernating
12367,Denmark,2011-12-05 16:48:00,2011-12-05 16:48:00,1.0,150.9,4.0,4.0,1.0,1.0,Recent / Promising
12368,Cyprus,2010-03-21 15:56:00,2010-03-21 15:56:00,1.0,917.7,628.0,1.0,1.0,3.0,Hibernating
12369,Austria,2010-03-08 08:09:00,2010-10-22 13:13:00,3.0,1511.15,413.0,1.0,2.0,3.0,At Risk
12370,Cyprus,2010-02-09 09:41:00,2011-10-19 14:51:00,7.0,3956.56,51.0,3.0,3.0,4.0,Champions
12371,Switzerland,2010-03-04 18:23:00,2011-10-11 10:43:00,4.0,3347.38,60.0,3.0,3.0,4.0,Champions
12372,Denmark,2011-02-16 12:46:00,2011-09-29 12:12:00,3.0,1196.04,72.0,3.0,2.0,3.0,Recent / Promising
12373,Austria,2010-02-04 12:08:00,2011-02-01 13:10:00,3.0,927.65,311.0,2.0,2.0,3.0,Hibernating
12374,Austria,2010-04-30 14:01:00,2011-11-14 15:37:00,3.0,2669.22,25.0,4.0,2.0,4.0,Recent / Promising
12375,Finland,2011-09-02 14:23:00,2011-11-29 10:36:00,2.0,377.5,11.0,4.0,2.0,2.0,Recent / Promising
12376,Switzerland,2010-10-18 08:42:00,2010-11-15 12:15:00,2.0,383.15,390.0,1.0,2.0,2.0,At Risk
12377,Switzerland,2010-04-29 15:34:00,2011-01-28 15:45:00,4.0,3266.32,315.0,2.0,3.0,4.0,Loyal
12378,Switzerland,2010-05-26 14:07:00,2011-08-02 10:34:00,2.0,5416.32,130.0,2.0,2.0,4.0,Hibernating
12379,Belgium,2010-06-23 12:49:00,2011-09-19 10:09:00,4.0,1470.22,82.0,3.0,3.0,3.0,Champions
12380,Belgium,2010-02-15 12:05:00,2011-11-18 11:27:00,8.0,7210.65,22.0,4.0,4.0,4.0,Champions
12381,Norway,2011-08-12 09:57:00,2011-12-05 12:44:00,3.0,1474.81,5.0,4.0,2.0,3.0,Recent / Promising
12383,Belgium,2010-12-22 14:28:00,2011-06-08 08:02:00,5.0,1628.56,185.0,2.0,3.0,3.0,Loyal
12384,Switzerland,2011-08-10 11:23:00,2011-11-11 08:39:00,2.0,425.27,29.0,3.0,2.0,2.0,Recent / Promising
12385,Belgium,2010-11-25 15:14:00,2010-11-25 15:14:00,1.0,1668.4,379.0,2.0,1.0,3.0,Hibernating
12386,Australia,2010-12-08 09:53:00,2011-01-06 12:37:00,2.0,401.9,338.0,2.0,2.0,2.0,Hibernating
12387,Australia,2010-10-20 16:27:00,2010-10-20 16:27:00,1.0,143.94,415.0,1.0,1.0,1.0,Hibernating
12388,Australia,2010-05-06 12:54:00,2011-11-24 12:30:00,8.0,3901.11,16.0,4.0,4.0,4.0,Champions
12389,Australia,2010-02-22 10:15:00,2010-11-02 11:52:00,3.0,1433.33,403.0,1.0,2.0,3.0,At Risk
12390,Belgium,2011-09-21 09:33:00,2011-09-21 09:33:00,1.0,504.84,80.0,3.0,1.0,2.0,Recent / Promising
12391,Cyprus,2010-02-15 10:12:00,2011-11-18 12:07:00,6.0,2724.84,22.0,4.0,3.0,4.0,Champions
12392,Australia,2010-04-27 14:04:00,2010-04-27 14:04:00,1.0,234.75,591.0,1.0,1.0,1.0,Hibernating
