Invoice,Date,StockCode,CustomerID,Country,Quantity,Price,ReturnValue
C489449,2009-12-01,22087,16321,Australia,-12,2.95,35.4
C489449,2009-12-01,85206A,16321,Australia,-6,1.65,9.9
C489449,2009-12-01,21895,16321,Australia,-4,4.25,17.0
C489449,2009-12-01,21896,16321,Australia,-6,2.1,12.6
C489449,2009-12-01,22083,16321,Australia,-12,2.95,35.4
C489449,2009-12-01,21871,16321,Australia,-12,1.25,15.0
C489449,2009-12-01,84946,16321,Australia,-12,1.25,15.0
C489449,2009-12-01,84970S,16321,Australia,-24,0.85,20.4
C489449,2009-12-01,22090,16321,Australia,-12,2.95,35.4
C489459,2009-12-01,90200A,17592,United Kingdom,-3,4.25,12.75
C489459,2009-12-01,90200D,17592,United Kingdom,-3,4.25,12.75
C489459,2009-12-01,90200B,17592,United Kingdom,-3,4.25,12.75
C489459,2009-12-01,90200E,17592,United Kingdom,-3,4.25,12.75
C489459,2009-12-01,90200C,17592,United Kingdom,-3,4.25,12.75
C489459,2009-12-01,90185C,17592,United Kingdom,-3,4.25,12.75
C489459,2009-12-01,90185B,17592,United Kingdom,-3,4.25,12.75
C489459,2009-12-01,90003C,17592,United Kingdom,-3,3.75,11.25
C489459,2009-12-01,90003D,17592,United Kingdom,-3,3.75,11.25
C489459,2009-12-01,90003B,17592,United Kingdom,-3,3.75,11.25
C489459,2009-12-01,90209C,17592,United Kingdom,-3,2.1,6.3
C489459,2009-12-01,90209A,17592,United Kingdom,-3,2.1,6.3
C489459,2009-12-01,90082D,17592,United Kingdom,-2,6.35,12.7
C489476,2009-12-01,22149,13293,United Kingdom,-6,2.1,12.6
C489503,2009-12-01,21540,16011,United Kingdom,-2,4.25,8.5
C489503,2009-12-01,21533,16011,United Kingdom,-1,4.95,4.95
C489504,2009-12-01,85083,13916,United Kingdom,-6,2.55,15.3
C489518,2009-12-01,20892,15461,United Kingdom,-2,12.75,25.5
C489518,2009-12-01,85048,15461,United Kingdom,-1,7.95,7.95
C489518,2009-12-01,22138,15461,United Kingdom,-1,4.95,4.95
C489524,2009-12-01,21258,15614,United Kingdom,-1,12.75,12.75
C489527,2009-12-01,21041,16128,United Kingdom,-3,2.95,8.85
C489527,2009-12-01,21173,16128,United Kingdom,-12,1.65,19.8
C489527,2009-12-01,85124A,16128,United Kingdom,-6,2.55,15.3
C489528,2009-12-01,85048,16714,United Kingdom,-1,7.95,7.95
C489530,2009-12-01,72803A,14748,United Kingdom,-1,4.25,4.25
C489534,2009-12-01,35832,12615,France,-1,5.95,5.95
C489538,2009-12-01,22183,15796,United Kingdom,-4,6.75,27.0
C489541,2009-12-01,21254,15091,United Kingdom,-4,2.95,11.8
C489543,2009-12-01,35400,14292,United Kingdom,-2,8.95,17.9
C489549,2009-12-01,35400,13768,United Kingdom,-2,7.95,15.9
C489551,2009-12-01,85048,17641,United Kingdom,-1,6.95,6.95
C489553,2009-12-01,35004S,13545,United Kingdom,-1,6.35,6.35
C489553,2009-12-01,35001W,13545,United Kingdom,-6,3.49,20.94
C489554,2009-12-01,85042,13767,United Kingdom,-3,4.25,12.75
C489554,2009-12-01,35001B,13767,United Kingdom,-2,2.95,5.9
C489555,2009-12-01,21260,16955,United Kingdom,-6,3.25,19.5
C489563,2009-12-01,90088,13526,United Kingdom,-24,0.85,20.4
C489563,2009-12-01,90090,13526,United Kingdom,-24,0.85,20.4
C489563,2009-12-01,90084,13526,United Kingdom,-12,0.85,10.2
C489563,2009-12-01,90093,13526,United Kingdom,-24,0.85,20.4
C489563,2009-12-01,90085,13526,United Kingdom,-81,0.85,68.85
C489563,2009-12-01,90092,13526,United Kingdom,-24,0.85,20.4
C489563,2009-12-01,90087,13526,United Kingdom,-48,0.85,40.8
C489563,2009-12-01,90092,13526,United Kingdom,-3,0.85,2.55
C489563,2009-12-01,90090,13526,United Kingdom,-12,0.85,10.2
C489565,2009-12-01,90125A,13526,United Kingdom,-12,2.1,25.2
C489568,2009-12-01,22107,15005,United Kingdom,-1,3.75,3.75
C489568,2009-12-01,82483,15005,United Kingdom,-1,5.95,5.95
C489568,2009-12-01,22138,15005,United Kingdom,-1,4.95,4.95
C489568,2009-12-01,21218,15005,United Kingdom,-1,3.75,3.75
C489570,2009-12-01,79323W,15967,United Kingdom,-1,6.75,6.75
C489570,2009-12-01,15056N,15967,United Kingdom,-1,5.95,5.95
C489570,2009-12-01,85103,15967,United Kingdom,-1,6.75,6.75
C489570,2009-12-01,20894,15967,United Kingdom,-1,2.95,2.95
C489577,2009-12-01,37503,14030,United Kingdom,-3,9.95,29.85
C489577,2009-12-01,22127,14030,United Kingdom,-48,1.25,60.0
C489577,2009-12-01,37501,14030,United Kingdom,-1,6.95,6.95
C489578,2009-12-01,21481,17091,United Kingdom,-1,2.95,2.95
C489583,2009-12-01,72807B,14621,United Kingdom,-1,4.25,4.25
C489583,2009-12-01,72802C,14621,United Kingdom,-1,4.25,4.25
